# Chorus wave power in pT^2 for 15 <= MLT < 21, Kp >= 5 for TS04D and Olson-Pfitzer (OP77Q) magnetic field models, as shown in Figure 1c 
# L*, TS04D Wave Power, OP77Q Wave Power
0.1,nan,nan
0.3,nan,nan
0.5,nan,nan
0.7,nan,nan
0.9,nan,nan
1.1,nan,nan
1.3,nan,nan
1.5,nan,nan
1.7,nan,nan
1.9,nan,nan
2.1,nan,nan
2.3,nan,nan
2.5,nan,nan
2.7,nan,nan
2.9,nan,nan
3.1,1.9697e+03,nan
3.3,nan,nan
3.5,1.4160e+02,nan
3.7,2.3267e+00,4.9111e+00
3.9,3.9357e+02,4.0820e+00
4.1,1.1056e+02,5.0459e+02
4.3,1.5348e+02,1.1170e+02
4.5,3.2670e+01,1.7552e+02
4.7,3.0994e-01,8.9113e+01
4.9,8.5124e+00,1.7163e+02
5.1,7.6951e+00,6.7410e+02
5.3,1.6491e+01,9.8174e+01
5.5,1.2428e+01,1.1576e+01
5.7,nan,nan
5.9,nan,nan
