# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10o for E = 1000.0 keV, L* = 4.5, MLT = 19.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.8244e-10,3.8073e-50,1.8244e-10
1.4940,1.8390e-10,3.3655e-42,1.8390e-10
2.4890,1.8546e-10,1.9572e-38,1.8546e-10
3.4830,1.8713e-10,6.8217e-36,1.8713e-10
4.4780,1.8890e-10,6.1458e-34,1.8890e-10
5.4720,1.9078e-10,2.4968e-32,1.9078e-10
6.4670,1.9277e-10,5.9831e-31,1.9277e-10
7.4610,1.9487e-10,9.8146e-30,1.9487e-10
8.4560,1.9707e-10,1.2071e-28,1.9707e-10
9.4500,1.9938e-10,1.1819e-27,1.9938e-10
10.4440,2.0180e-10,9.6035e-27,2.0180e-10
11.4390,2.0432e-10,6.6762e-26,2.0432e-10
12.4330,2.0695e-10,4.0630e-25,2.0695e-10
13.4280,2.0968e-10,2.2038e-24,2.0968e-10
14.4220,2.1251e-10,1.0806e-23,2.1251e-10
15.4170,2.1544e-10,4.8464e-23,2.1544e-10
16.4110,2.1847e-10,2.0070e-22,2.1847e-10
17.4060,2.2160e-10,7.7351e-22,2.2160e-10
18.4000,2.2483e-10,2.7930e-21,2.2483e-10
19.3940,2.2815e-10,9.5001e-21,2.2815e-10
20.3890,2.3156e-10,3.0577e-20,2.3156e-10
21.3830,2.3506e-10,9.3470e-20,2.3506e-10
22.3780,2.3864e-10,2.7217e-19,2.3864e-10
23.3720,2.4229e-10,7.5671e-19,2.4229e-10
24.3670,2.4600e-10,2.0131e-18,2.4600e-10
25.3610,2.4975e-10,5.1348e-18,2.4975e-10
26.3560,2.5355e-10,1.2587e-17,2.5355e-10
27.3500,2.5736e-10,2.9716e-17,2.5736e-10
28.3440,2.6117e-10,6.7824e-17,2.6117e-10
29.3390,2.6497e-10,1.5049e-16,2.6497e-10
30.3330,2.6874e-10,3.2716e-16,2.6874e-10
31.3280,2.7250e-10,7.0307e-16,2.7250e-10
32.3220,2.7627e-10,1.5043e-15,2.7628e-10
33.3170,2.8012e-10,3.2184e-15,2.8013e-10
34.3110,2.8409e-10,6.8460e-15,2.8410e-10
35.3060,2.8813e-10,1.4395e-14,2.8815e-10
36.3000,2.9206e-10,2.9594e-14,2.9210e-10
37.2940,2.9579e-10,5.8962e-14,2.9588e-10
38.2890,2.9924e-10,1.1312e-13,2.9942e-10
39.2830,3.0230e-10,2.0721e-13,3.0264e-10
40.2780,3.0471e-10,3.6183e-13,3.0533e-10
41.2720,3.0607e-10,6.0391e-13,3.0718e-10
42.2670,3.0607e-10,9.8429e-13,3.0791e-10
43.2610,3.0477e-10,1.6126e-12,3.0769e-10
44.2560,3.0237e-10,2.6478e-12,3.0673e-10
45.2500,2.9894e-10,4.1878e-12,3.0514e-10
46.2440,2.9470e-10,6.2042e-12,3.0310e-10
47.2390,2.8875e-10,8.5887e-12,2.9971e-10
48.2330,2.8057e-10,1.1251e-11,2.9448e-10
49.2280,2.7032e-10,1.4244e-11,2.8784e-10
50.2220,2.5879e-10,1.7681e-11,2.8096e-10
51.2170,2.4673e-10,2.1487e-11,2.7461e-10
52.2110,2.3501e-10,2.5479e-11,2.6863e-10
53.2060,2.2572e-10,2.9474e-11,2.6356e-10
54.2000,2.1981e-10,3.2661e-11,2.5984e-10
55.1940,2.2183e-10,3.4564e-11,2.6292e-10
56.1890,2.2811e-10,3.6406e-11,2.7090e-10
57.1830,2.3771e-10,4.0124e-11,2.8395e-10
58.1780,2.4649e-10,4.6303e-11,2.9872e-10
59.1720,2.5491e-10,5.4683e-11,3.1592e-10
60.1670,2.6664e-10,6.2305e-11,3.3551e-10
61.1610,2.8339e-10,6.8915e-11,3.5748e-10
62.1560,3.2232e-10,7.8797e-11,4.0457e-10
63.1500,3.8591e-10,9.5660e-11,4.8547e-10
64.1440,4.6934e-10,1.1752e-10,5.9265e-10
65.1390,5.5373e-10,1.2566e-10,6.8584e-10
66.1330,6.2856e-10,1.4297e-10,7.7796e-10
67.1280,6.9660e-10,1.6124e-10,8.6221e-10
68.1220,7.9488e-10,1.9079e-10,9.8835e-10
69.1170,8.6965e-10,2.1567e-10,1.0879e-09
70.1110,9.3437e-10,2.4117e-10,1.1762e-09
71.1060,1.0235e-09,2.6959e-10,1.2931e-09
72.1000,1.1309e-09,2.6999e-10,1.4010e-09
73.0940,1.2181e-09,3.1063e-10,1.5304e-09
74.0890,1.2902e-09,3.3335e-10,1.6264e-09
75.0830,1.1857e-09,3.5873e-10,1.5496e-09
76.0780,1.2260e-09,3.9086e-10,1.6202e-09
77.0720,1.3121e-09,3.9153e-10,1.7049e-09
78.0670,1.5111e-09,4.1543e-10,1.9267e-09
79.0610,1.8589e-09,4.7338e-10,2.3323e-09
80.0560,2.4760e-09,4.9957e-10,2.9807e-09
81.0500,2.7691e-09,5.4984e-10,3.3199e-09
82.0440,2.9387e-09,5.5644e-10,3.4963e-09
83.0390,2.6195e-09,6.0495e-10,3.2282e-09
84.0330,1.5762e-09,6.2608e-10,2.2247e-09
85.0280,9.8103e-10,7.1175e-10,1.6934e-09
86.0220,1.0090e-09,5.7654e-10,1.5890e-09
87.0170,1.4734e-09,5.4523e-10,2.0190e-09
88.0110,3.3462e-09,7.9057e-10,4.1583e-09
89.0060,1.5159e-08,4.5607e-10,1.5632e-08
