# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10y for E = 100.0 keV, L* = 4.5, MLT = 1.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.6782e-04,1.6497e-06,1.6955e-04
1.4940,1.6928e-04,1.6620e-06,1.7103e-04
2.4890,1.7096e-04,1.6743e-06,1.7272e-04
3.4830,1.7287e-04,1.6867e-06,1.7464e-04
4.4780,1.7500e-04,1.6991e-06,1.7679e-04
5.4720,1.7737e-04,1.7117e-06,1.7917e-04
6.4670,1.7998e-04,1.7246e-06,1.8179e-04
7.4610,1.8284e-04,1.7380e-06,1.8466e-04
8.4560,1.8595e-04,1.7518e-06,1.8778e-04
9.4500,1.8932e-04,1.7664e-06,1.9116e-04
10.4440,1.9295e-04,1.7820e-06,1.9481e-04
11.4390,1.9687e-04,1.7989e-06,1.9874e-04
12.4330,2.0106e-04,1.8172e-06,2.0295e-04
13.4280,2.0555e-04,1.8375e-06,2.0745e-04
14.4220,2.1032e-04,1.8600e-06,2.1225e-04
15.4170,2.1540e-04,1.8856e-06,2.1735e-04
16.4110,2.2077e-04,1.9141e-06,2.2275e-04
17.4060,2.2645e-04,1.9466e-06,2.2845e-04
18.4000,2.3243e-04,1.9837e-06,2.3446e-04
19.3940,2.3871e-04,2.0261e-06,2.4079e-04
20.3890,2.4531e-04,2.0745e-06,2.4743e-04
21.3830,2.5222e-04,2.1296e-06,2.5439e-04
22.3780,2.5943e-04,2.1923e-06,2.6166e-04
23.3720,2.6695e-04,2.2635e-06,2.6924e-04
24.3670,2.7475e-04,2.3441e-06,2.7713e-04
25.3610,2.8283e-04,2.4346e-06,2.8530e-04
26.3560,2.9115e-04,2.5357e-06,2.9371e-04
27.3500,2.9967e-04,2.6477e-06,3.0234e-04
28.3440,3.0837e-04,2.7710e-06,3.1116e-04
29.3390,3.1723e-04,2.9057e-06,3.2016e-04
30.3330,3.2622e-04,3.0515e-06,3.2929e-04
31.3280,3.3531e-04,3.2082e-06,3.3853e-04
32.3220,3.4448e-04,3.3751e-06,3.4788e-04
33.3170,3.5381e-04,3.5502e-06,3.5738e-04
34.3110,3.6332e-04,3.7329e-06,3.6707e-04
35.3060,3.7300e-04,3.9218e-06,3.7695e-04
36.3000,3.8279e-04,4.1189e-06,3.8693e-04
37.2940,3.9267e-04,4.3314e-06,3.9702e-04
38.2890,4.0267e-04,4.5651e-06,4.0726e-04
39.2830,4.1291e-04,4.8227e-06,4.1776e-04
40.2780,4.2342e-04,5.1063e-06,4.2854e-04
41.2720,4.3390e-04,5.4176e-06,4.3933e-04
42.2670,4.4404e-04,5.7980e-06,4.4984e-04
43.2610,4.5393e-04,6.3010e-06,4.6024e-04
44.2560,4.6341e-04,6.9212e-06,4.7039e-04
45.2500,4.7215e-04,7.6292e-06,4.7999e-04
46.2440,4.7952e-04,8.4259e-06,4.8843e-04
47.2390,4.8501e-04,9.3726e-06,4.9529e-04
48.2330,4.8761e-04,1.0472e-05,4.9953e-04
49.2280,4.8627e-04,1.1647e-05,4.9993e-04
50.2220,4.7998e-04,1.3046e-05,4.9546e-04
51.2170,4.6927e-04,1.5211e-05,4.8695e-04
52.2110,4.5398e-04,1.8104e-05,4.7426e-04
53.2060,4.3320e-04,2.1376e-05,4.5627e-04
54.2000,4.0642e-04,2.4806e-05,4.3240e-04
55.1940,3.7570e-04,2.8178e-05,4.0455e-04
56.1890,3.4245e-04,3.0718e-05,3.7351e-04
57.1830,3.0768e-04,3.2073e-05,3.3988e-04
58.1780,2.7506e-04,3.2353e-05,3.0745e-04
59.1720,2.4779e-04,3.1788e-05,2.7958e-04
60.1670,2.2683e-04,3.0580e-05,2.5746e-04
61.1610,2.1481e-04,2.9068e-05,2.4417e-04
62.1560,2.1437e-04,2.7077e-05,2.4212e-04
63.1500,2.2145e-04,2.4550e-05,2.4702e-04
64.1440,2.3598e-04,2.1579e-05,2.5872e-04
65.1390,2.5553e-04,1.8325e-05,2.7503e-04
66.1330,2.7583e-04,1.4467e-05,2.9141e-04
67.1280,2.8920e-04,1.0630e-05,3.0067e-04
68.1220,3.0162e-04,7.7281e-06,3.0989e-04
69.1170,3.2232e-04,6.5012e-06,3.2886e-04
70.1110,3.4760e-04,8.4670e-06,3.5660e-04
71.1060,3.6870e-04,1.7810e-05,3.8683e-04
72.1000,3.7455e-04,2.7765e-05,4.0268e-04
73.0940,3.3517e-04,3.7611e-05,3.7447e-04
74.0890,2.8002e-04,4.4857e-05,3.2664e-04
75.0830,2.1395e-04,4.2203e-05,2.6033e-04
76.0780,1.2946e-04,3.7112e-05,1.8184e-04
77.0720,1.5348e-05,3.5498e-05,1.1408e-04
78.0670,1.3413e-06,3.4279e-05,6.5553e-05
79.0610,3.1795e-09,2.9697e-05,2.9700e-05
80.0560,1.4650e-09,1.6679e-05,1.6680e-05
81.0500,4.3523e-10,7.5042e-06,7.5046e-06
82.0440,1.8365e-19,1.9509e-06,1.9509e-06
83.0390,1.0000e-31,1.5070e-07,1.5070e-07
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
