# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11hh for E = 50.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.9213e-05,1.8657e-04,1.0000e-31
1.4940,1.9375e-05,1.8802e-04,1.0000e-31
2.4890,1.9555e-05,1.8951e-04,1.0000e-31
3.4830,1.9754e-05,1.9107e-04,1.0000e-31
4.4780,1.9973e-05,1.9267e-04,1.0000e-31
5.4720,2.0212e-05,1.9435e-04,1.0000e-31
6.4670,2.0471e-05,1.9606e-04,1.0000e-31
7.4610,2.0752e-05,1.9784e-04,1.0000e-31
8.4560,2.1055e-05,1.9965e-04,1.0000e-31
9.4500,2.1380e-05,2.0153e-04,1.0000e-31
10.4440,2.1729e-05,2.0346e-04,1.0000e-31
11.4390,2.2101e-05,2.0541e-04,1.0000e-31
12.4330,2.2499e-05,2.0741e-04,1.0000e-31
13.4280,2.2921e-05,2.0943e-04,1.0000e-31
14.4220,2.3371e-05,2.1150e-04,1.0000e-31
15.4170,2.3847e-05,2.1357e-04,1.0000e-31
16.4110,2.4352e-05,2.1567e-04,1.0000e-31
17.4060,2.4886e-05,2.1775e-04,1.0000e-31
18.4000,2.5450e-05,2.1986e-04,1.0000e-31
19.3940,2.6045e-05,2.2196e-04,1.0000e-31
20.3890,2.6674e-05,2.2401e-04,1.0000e-31
21.3830,2.7340e-05,2.2607e-04,1.0000e-31
22.3780,2.8043e-05,2.2806e-04,1.0000e-31
23.3720,2.8785e-05,2.3003e-04,1.0000e-31
24.3670,2.9568e-05,2.3193e-04,1.0000e-31
25.3610,3.0394e-05,2.3379e-04,1.0000e-31
26.3560,3.1265e-05,2.3556e-04,1.0000e-31
27.3500,3.2184e-05,2.3727e-04,1.0000e-31
28.3440,3.3153e-05,2.3889e-04,1.0000e-31
29.3390,3.4175e-05,2.4038e-04,1.0000e-31
30.3330,3.5255e-05,2.4178e-04,1.0000e-31
31.3280,3.6397e-05,2.4301e-04,1.0000e-31
32.3220,3.7609e-05,2.4409e-04,1.0000e-31
33.3170,3.8919e-05,2.4502e-04,1.0000e-31
34.3110,4.0310e-05,2.4580e-04,1.0000e-31
35.3060,4.1728e-05,2.4643e-04,1.0000e-31
36.3000,4.3184e-05,2.4693e-04,1.0000e-31
37.2940,4.4681e-05,2.4726e-04,1.0000e-31
38.2890,4.6217e-05,2.4736e-04,1.0000e-31
39.2830,4.7791e-05,2.4729e-04,1.0000e-31
40.2780,4.9399e-05,2.4701e-04,1.0000e-31
41.2720,5.1035e-05,2.4656e-04,1.0000e-31
42.2670,5.2691e-05,2.4595e-04,1.0000e-31
43.2610,5.4356e-05,2.4519e-04,1.0000e-31
44.2560,5.6030e-05,2.4431e-04,1.0000e-31
45.2500,5.7704e-05,2.4325e-04,1.0000e-31
46.2440,5.9364e-05,2.4197e-04,1.0000e-31
47.2390,6.0999e-05,2.4049e-04,1.0000e-31
48.2330,6.2597e-05,2.3877e-04,1.0000e-31
49.2280,6.4067e-05,2.3688e-04,1.0000e-31
50.2220,6.5494e-05,2.3467e-04,1.0000e-31
51.2170,6.6844e-05,2.3227e-04,1.0000e-31
52.2110,6.8108e-05,2.2970e-04,1.0000e-31
53.2060,6.9281e-05,2.2705e-04,1.0000e-31
54.2000,7.0355e-05,2.2405e-04,1.0000e-31
55.1940,7.1321e-05,2.2077e-04,1.0000e-31
56.1890,7.2167e-05,2.1749e-04,1.0000e-31
57.1830,7.2986e-05,2.1411e-04,1.0000e-31
58.1780,7.3377e-05,2.1071e-04,1.0000e-31
59.1720,7.3793e-05,2.0710e-04,1.0000e-31
60.1670,7.4350e-05,2.0330e-04,1.0000e-31
61.1610,7.5779e-05,1.9914e-04,1.0000e-31
62.1560,7.8214e-05,1.9478e-04,1.0000e-31
63.1500,8.1107e-05,1.9050e-04,1.0000e-31
64.1440,8.4500e-05,1.8721e-04,1.0000e-31
65.1390,8.8382e-05,1.8511e-04,1.0000e-31
66.1330,9.3185e-05,1.8508e-04,1.0000e-31
67.1280,1.0116e-04,1.8565e-04,1.0000e-31
68.1220,1.0755e-04,1.8951e-04,1.0000e-31
69.1170,1.1465e-04,1.9363e-04,1.0000e-31
70.1110,1.2924e-04,2.0106e-04,1.0000e-31
71.1060,1.4574e-04,2.1289e-04,1.0000e-31
72.1000,1.5122e-04,2.1672e-04,1.0000e-31
73.0940,1.6086e-04,2.1868e-04,1.0000e-31
74.0890,1.7099e-04,2.1986e-04,1.0000e-31
75.0830,1.8506e-04,2.1740e-04,1.0000e-31
76.0780,1.9739e-04,2.0804e-04,1.0000e-31
77.0720,1.8539e-04,1.9152e-04,1.0000e-31
78.0670,1.6434e-04,1.7151e-04,1.0000e-31
79.0610,1.3250e-04,1.4716e-04,1.0000e-31
80.0560,8.3127e-05,1.2174e-04,1.0000e-31
81.0500,5.0944e-05,9.7507e-05,1.0000e-31
82.0440,2.8328e-05,7.5623e-05,1.0000e-31
83.0390,1.2169e-05,5.8613e-05,1.0000e-31
84.0330,1.0906e-06,4.2465e-05,1.0000e-31
85.0280,7.6327e-09,2.7443e-05,1.0000e-31
86.0220,2.9348e-14,1.5065e-05,1.0000e-31
87.0170,1.9863e-15,7.7095e-06,1.0000e-31
88.0110,1.0000e-31,4.6948e-06,1.0000e-31
89.0060,1.0000e-31,2.0185e-06,1.0000e-31
