# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11q for E = 500.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.3667e-08,6.2940e-06,3.8989e-05
1.4940,4.5060e-08,6.3398e-06,3.9271e-05
2.4890,4.7552e-08,6.3839e-06,3.9543e-05
3.4830,5.1190e-08,6.4270e-06,3.9807e-05
4.4780,5.6039e-08,6.4682e-06,4.0059e-05
5.4720,6.2190e-08,6.5082e-06,4.0299e-05
6.4670,6.9768e-08,6.5461e-06,4.0524e-05
7.4610,7.8936e-08,6.5824e-06,4.0735e-05
8.4560,8.9911e-08,6.6164e-06,4.0927e-05
9.4500,1.0297e-07,6.6484e-06,4.1098e-05
10.4440,1.1840e-07,6.6780e-06,4.1245e-05
11.4390,1.3585e-07,6.7047e-06,4.1365e-05
12.4330,1.5529e-07,6.7289e-06,4.1454e-05
13.4280,1.7691e-07,6.7497e-06,4.1508e-05
14.4220,2.0091e-07,6.7672e-06,4.1522e-05
15.4170,2.2750e-07,6.7810e-06,4.1493e-05
16.4110,2.5694e-07,6.7910e-06,4.1415e-05
17.4060,2.8947e-07,6.7967e-06,4.1285e-05
18.4000,3.2543e-07,6.7979e-06,4.1098e-05
19.3940,3.6519e-07,6.7944e-06,4.0853e-05
20.3890,4.0914e-07,6.7862e-06,4.0546e-05
21.3830,4.5768e-07,6.7733e-06,4.0172e-05
22.3780,5.1126e-07,6.7565e-06,3.9726e-05
23.3720,5.7038e-07,6.7360e-06,3.9200e-05
24.3670,6.3561e-07,6.7124e-06,3.8589e-05
25.3610,7.0753e-07,6.6854e-06,3.7885e-05
26.3560,7.8664e-07,6.6550e-06,3.7081e-05
27.3500,8.7343e-07,6.6203e-06,3.6171e-05
28.3440,9.6844e-07,6.5813e-06,3.5156e-05
29.3390,1.0722e-06,6.5386e-06,3.4045e-05
30.3330,1.1851e-06,6.4914e-06,3.2853e-05
31.3280,1.3075e-06,6.4405e-06,3.1584e-05
32.3220,1.4401e-06,6.3860e-06,3.0239e-05
33.3170,1.5831e-06,6.3301e-06,2.8823e-05
34.3110,1.7377e-06,6.2713e-06,2.7351e-05
35.3060,1.9056e-06,6.2073e-06,2.5844e-05
36.3000,2.0897e-06,6.1392e-06,2.4318e-05
37.2940,2.2865e-06,6.0700e-06,2.2795e-05
38.2890,2.4964e-06,6.0046e-06,2.1303e-05
39.2830,2.7231e-06,5.9410e-06,1.9871e-05
40.2780,2.9717e-06,5.8828e-06,1.8532e-05
41.2720,3.2514e-06,5.8364e-06,1.7351e-05
42.2670,3.5610e-06,5.8124e-06,1.6334e-05
43.2610,3.8911e-06,5.8082e-06,1.5501e-05
44.2560,4.2640e-06,5.8297e-06,1.4853e-05
45.2500,4.6881e-06,5.8923e-06,1.4314e-05
46.2440,5.1699e-06,5.9931e-06,1.3877e-05
47.2390,5.7105e-06,6.1096e-06,1.3531e-05
48.2330,6.3030e-06,6.2485e-06,1.3252e-05
49.2280,6.9589e-06,6.4176e-06,1.3046e-05
50.2220,7.6784e-06,6.6198e-06,1.2939e-05
51.2170,8.4691e-06,6.8405e-06,1.2965e-05
52.2110,9.3221e-06,7.0448e-06,1.3003e-05
53.2060,1.0229e-05,7.2133e-06,1.2937e-05
54.2000,1.1148e-05,7.4146e-06,1.2690e-05
55.1940,1.2059e-05,7.6481e-06,1.2364e-05
56.1890,1.2950e-05,7.9189e-06,1.1978e-05
57.1830,1.3785e-05,8.2471e-06,1.1526e-05
58.1780,1.4547e-05,8.6388e-06,1.0973e-05
59.1720,1.5269e-05,9.0909e-06,1.0474e-05
60.1670,1.6080e-05,9.5971e-06,1.0026e-05
61.1610,1.7145e-05,1.0204e-05,9.6718e-06
62.1560,1.8669e-05,1.1027e-05,9.5463e-06
63.1500,2.1582e-05,1.1989e-05,9.9681e-06
64.1440,2.3211e-05,1.3031e-05,1.0675e-05
65.1390,2.3933e-05,1.4354e-05,1.1628e-05
66.1330,2.4483e-05,1.5881e-05,1.2818e-05
67.1280,2.4750e-05,1.7486e-05,1.3282e-05
68.1220,2.4972e-05,1.9127e-05,1.4392e-05
69.1170,2.5199e-05,2.0599e-05,1.6147e-05
70.1110,2.5533e-05,2.1813e-05,1.7997e-05
71.1060,2.5527e-05,2.2853e-05,2.0124e-05
72.1000,2.5660e-05,2.3681e-05,2.3424e-05
73.0940,2.4886e-05,2.5051e-05,3.0579e-05
74.0890,2.1302e-05,2.6571e-05,3.9784e-05
75.0830,1.9689e-05,2.8896e-05,4.4410e-05
76.0780,1.9348e-05,3.0696e-05,4.8221e-05
77.0720,2.1136e-05,3.3461e-05,5.2625e-05
78.0670,2.4726e-05,3.8561e-05,3.9526e-05
79.0610,3.0504e-05,6.1237e-05,2.4703e-05
80.0560,2.0012e-05,3.9368e-05,2.3542e-05
81.0500,1.5989e-05,3.9452e-05,2.5360e-05
82.0440,1.4745e-05,4.3112e-05,3.0152e-05
83.0390,1.3812e-05,2.7169e-05,1.2418e-05
84.0330,1.2801e-05,2.7065e-05,1.0182e-05
85.0280,1.1924e-05,2.8446e-05,5.6054e-06
86.0220,1.2110e-05,3.0461e-05,5.7964e-06
87.0170,1.4804e-05,3.6872e-05,7.2945e-06
88.0110,2.1758e-05,5.1646e-05,1.4182e-05
89.0060,1.7894e-05,6.0989e-05,2.4049e-05
