# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11u for E = 500.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.8465e-08,4.3818e-05,5.5505e-06
1.4940,9.0369e-08,4.4144e-05,5.5986e-06
2.4890,9.3552e-08,4.4464e-05,5.6535e-06
3.4830,9.8069e-08,4.4784e-05,5.7157e-06
4.4780,1.0399e-07,4.5098e-05,5.7857e-06
5.4720,1.1140e-07,4.5411e-05,5.8639e-06
6.4670,1.2043e-07,4.5717e-05,5.9506e-06
7.4610,1.3122e-07,4.6019e-05,6.0463e-06
8.4560,1.4400e-07,4.6311e-05,6.1511e-06
9.4500,1.5903e-07,4.6599e-05,6.2653e-06
10.4440,1.7669e-07,4.6875e-05,6.3893e-06
11.4390,1.9750e-07,4.7139e-05,6.5235e-06
12.4330,2.2160e-07,4.7391e-05,6.6679e-06
13.4280,2.4868e-07,4.7625e-05,6.8220e-06
14.4220,2.7907e-07,4.7844e-05,6.9845e-06
15.4170,3.1313e-07,4.8042e-05,7.1535e-06
16.4110,3.5129e-07,4.8218e-05,7.3271e-06
17.4060,3.9404e-07,4.8368e-05,7.5034e-06
18.4000,4.4187e-07,4.8492e-05,7.6807e-06
19.3940,4.9531e-07,4.8587e-05,7.8604e-06
20.3890,5.5481e-07,4.8650e-05,8.0527e-06
21.3830,6.2076e-07,4.8678e-05,8.2660e-06
22.3780,6.9332e-07,4.8667e-05,8.4992e-06
23.3720,7.7237e-07,4.8612e-05,8.7561e-06
24.3670,8.5735e-07,4.8509e-05,9.0263e-06
25.3610,9.4650e-07,4.8353e-05,9.3141e-06
26.3560,1.0372e-06,4.8140e-05,9.6219e-06
27.3500,1.1269e-06,4.7865e-05,9.9387e-06
28.3440,1.2123e-06,4.7521e-05,1.0262e-05
29.3390,1.2912e-06,4.7103e-05,1.0605e-05
30.3330,1.3656e-06,4.6593e-05,1.0961e-05
31.3280,1.4448e-06,4.5993e-05,1.1322e-05
32.3220,1.5527e-06,4.5296e-05,1.1721e-05
33.3170,1.7360e-06,4.4516e-05,1.2179e-05
34.3110,1.9596e-06,4.3641e-05,1.2665e-05
35.3060,2.2007e-06,4.2673e-05,1.3188e-05
36.3000,2.4571e-06,4.1598e-05,1.3806e-05
37.2940,2.7237e-06,4.0430e-05,1.4469e-05
38.2890,2.9817e-06,3.9194e-05,1.5066e-05
39.2830,3.2165e-06,3.7876e-05,1.5671e-05
40.2780,3.4047e-06,3.6488e-05,1.6294e-05
41.2720,3.5113e-06,3.4991e-05,1.6772e-05
42.2670,3.5428e-06,3.3435e-05,1.7092e-05
43.2610,3.5770e-06,3.1825e-05,1.7493e-05
44.2560,3.5710e-06,3.0160e-05,1.7679e-05
45.2500,3.5604e-06,2.8423e-05,1.7833e-05
46.2440,3.5753e-06,2.6660e-05,1.8079e-05
47.2390,3.7109e-06,2.4924e-05,1.8317e-05
48.2330,3.8826e-06,2.3234e-05,1.8432e-05
49.2280,4.0325e-06,2.1684e-05,1.8637e-05
50.2220,4.0336e-06,2.0255e-05,1.8664e-05
51.2170,4.0015e-06,1.8968e-05,1.8805e-05
52.2110,3.9288e-06,1.7740e-05,1.8868e-05
53.2060,3.7789e-06,1.6478e-05,1.8818e-05
54.2000,3.7157e-06,1.5294e-05,1.8624e-05
55.1940,3.6276e-06,1.4162e-05,1.8499e-05
56.1890,3.5181e-06,1.3113e-05,1.8141e-05
57.1830,3.3841e-06,1.2073e-05,1.7730e-05
58.1780,3.2399e-06,1.1050e-05,1.7359e-05
59.1720,3.1655e-06,1.0082e-05,1.6928e-05
60.1670,3.1708e-06,9.2277e-06,1.6518e-05
61.1610,2.9930e-06,8.4997e-06,1.6272e-05
62.1560,2.7619e-06,7.9187e-06,1.6013e-05
63.1500,2.5461e-06,7.4223e-06,1.5860e-05
64.1440,2.2785e-06,6.9328e-06,1.5908e-05
65.1390,1.9926e-06,6.0263e-06,1.5884e-05
66.1330,1.9195e-06,5.6015e-06,1.6145e-05
67.1280,1.8513e-06,5.1610e-06,1.6439e-05
68.1220,1.8166e-06,4.7147e-06,1.6728e-05
69.1170,1.8211e-06,4.3119e-06,1.7063e-05
70.1110,1.8601e-06,3.9659e-06,1.7221e-05
71.1060,1.7805e-06,3.6307e-06,1.7301e-05
72.1000,1.6267e-06,3.3229e-06,1.8201e-05
73.0940,1.4648e-06,3.0825e-06,1.9790e-05
74.0890,1.3302e-06,2.9206e-06,2.1191e-05
75.0830,1.3151e-06,2.6729e-06,2.2120e-05
76.0780,1.1537e-06,2.2957e-06,2.2915e-05
77.0720,9.4214e-07,1.5349e-06,2.3652e-05
78.0670,9.4052e-07,1.4577e-06,2.3580e-05
79.0610,9.4792e-07,1.5155e-06,2.3838e-05
80.0560,9.7548e-07,1.6637e-06,2.4121e-05
81.0500,1.0490e-06,2.0282e-06,2.4402e-05
82.0440,1.2505e-06,2.6944e-06,2.3376e-05
83.0390,1.6958e-06,3.8358e-06,2.3258e-05
84.0330,2.0551e-06,5.8084e-06,2.9461e-05
85.0280,1.0410e-06,7.6717e-06,2.1385e-05
86.0220,1.8816e-07,9.0538e-06,1.5407e-05
87.0170,1.0714e-07,7.7362e-06,1.3646e-05
88.0110,4.2696e-08,1.1655e-06,1.9281e-05
89.0060,2.6951e-14,8.8810e-08,3.9465e-05
