# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12h for E = 5000.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.6535e-31,1.5359e-12,5.7128e-27
1.4940,3.1285e-27,1.3967e-11,4.2340e-24
2.4890,3.2925e-25,3.9309e-11,9.6706e-23
3.4830,7.5844e-24,7.9227e-11,7.9835e-22
4.4780,8.4290e-23,1.3483e-10,4.0446e-21
5.4720,6.1165e-22,2.0962e-10,1.5399e-20
6.4670,3.3563e-21,3.0549e-10,4.8609e-20
7.4610,1.5112e-20,4.2852e-10,1.3441e-19
8.4560,5.8684e-20,5.8189e-10,3.3672e-19
9.4500,2.0310e-19,7.7552e-10,7.8333e-19
10.4440,6.4080e-19,1.0171e-09,1.7214e-18
11.4390,1.8739e-18,1.3152e-09,3.6178e-18
12.4330,5.1427e-18,1.6891e-09,7.3456e-18
13.4280,1.3375e-17,2.1492e-09,1.4538e-17
14.4220,3.3220e-17,2.7263e-09,2.8286e-17
15.4170,7.9288e-17,3.4586e-09,5.4527e-17
16.4110,1.8275e-16,4.4121e-09,1.0485e-16
17.4060,4.0832e-16,5.5246e-09,2.0205e-16
18.4000,8.8679e-16,7.0750e-09,3.9071e-16
19.3940,1.8750e-15,9.6412e-09,7.5651e-16
20.3890,3.8610e-15,9.7883e-09,1.4605e-15
21.3830,7.7632e-15,9.8080e-09,2.7981e-15
22.3780,1.5302e-14,9.6371e-09,5.2919e-15
23.3720,2.9398e-14,9.0931e-09,9.8897e-15
24.3670,5.4774e-14,7.9788e-09,1.8227e-14
25.3610,9.8636e-14,5.8558e-09,3.2947e-14
26.3560,1.7138e-13,1.8759e-09,5.7971e-14
27.3500,2.8772e-13,1.8287e-09,9.8429e-14
28.3440,4.6875e-13,1.7801e-09,1.5985e-13
29.3390,7.4502e-13,1.7114e-09,2.4582e-13
30.3330,1.1582e-12,1.6231e-09,3.5411e-13
31.3280,1.7615e-12,1.5246e-09,4.7388e-13
32.3220,2.6068e-12,1.4041e-09,5.9168e-13
33.3170,3.7346e-12,1.1667e-09,6.8995e-13
34.3110,5.2683e-12,7.2877e-10,7.5815e-13
35.3060,7.6237e-12,6.8461e-10,8.0829e-13
36.3000,1.0948e-11,6.6945e-10,8.8716e-13
37.2940,1.4006e-11,6.5672e-10,1.0740e-12
38.2890,1.9106e-11,6.5180e-10,1.4677e-12
39.2830,3.3375e-11,6.5157e-10,2.1768e-12
40.2780,4.1080e-11,6.5767e-10,3.3180e-12
41.2720,6.5610e-11,6.7771e-10,5.0773e-12
42.2670,8.6425e-11,6.9279e-10,7.8545e-12
43.2610,1.3960e-10,7.6873e-10,1.2509e-11
44.2560,1.9905e-10,8.0097e-10,2.0672e-11
45.2500,2.0328e-10,7.7638e-10,3.4990e-11
46.2440,2.1174e-10,7.5540e-10,5.9107e-11
47.2390,2.2392e-10,7.3982e-10,9.8787e-11
48.2330,2.4559e-10,7.1710e-10,1.6282e-10
49.2280,2.6960e-10,7.0433e-10,2.6124e-10
50.2220,3.0689e-10,6.9278e-10,4.0695e-10
51.2170,3.8181e-10,6.8259e-10,6.2058e-10
52.2110,4.9669e-10,6.6094e-10,9.1494e-10
53.2060,6.6856e-10,6.7605e-10,1.3214e-09
54.2000,9.5596e-10,6.2057e-10,1.8599e-09
55.1940,9.7715e-10,6.7672e-10,2.5662e-09
56.1890,1.0235e-09,7.7399e-10,3.5159e-09
57.1830,1.1027e-09,9.3452e-10,4.7037e-09
58.1780,1.2112e-09,1.1563e-09,6.1316e-09
59.1720,1.3692e-09,1.4593e-09,8.2369e-09
60.1670,1.5876e-09,1.8050e-09,1.0085e-08
61.1610,1.8120e-09,2.2423e-09,1.2875e-08
62.1560,2.2367e-09,2.8572e-09,1.5090e-08
63.1500,2.5684e-09,3.5801e-09,1.9731e-08
64.1440,3.4084e-09,4.6179e-09,2.2924e-08
65.1390,4.9977e-09,7.5895e-09,3.1572e-08
66.1330,5.5466e-09,7.8595e-09,3.0561e-08
67.1280,5.5852e-09,7.9163e-09,2.7640e-08
68.1220,5.6096e-09,7.9180e-09,2.5672e-08
69.1170,5.6972e-09,8.1052e-09,2.0441e-08
70.1110,5.7960e-09,8.3676e-09,1.5739e-08
71.1060,5.9661e-09,8.6924e-09,6.9533e-09
72.1000,6.1847e-09,8.9960e-09,5.0956e-09
73.0940,6.2451e-09,9.4983e-09,6.4679e-09
74.0890,6.4650e-09,1.0196e-08,7.3431e-09
75.0830,6.5028e-09,1.0285e-08,8.7491e-09
76.0780,6.5308e-09,1.1311e-08,1.2197e-08
77.0720,6.4162e-09,1.0239e-08,1.5886e-08
78.0670,6.3016e-09,1.1322e-08,2.0480e-08
79.0610,7.0843e-09,1.0308e-08,1.9490e-08
80.0560,5.9075e-09,1.1079e-08,1.8164e-08
81.0500,8.0207e-09,1.0795e-08,1.6443e-08
82.0440,6.2826e-09,1.1245e-08,1.3693e-08
83.0390,7.3791e-09,1.2123e-08,8.7117e-09
84.0330,7.4843e-09,1.1851e-08,1.0000e-31
85.0280,7.5512e-09,1.2448e-08,1.0000e-31
86.0220,7.6490e-09,1.3518e-08,1.0000e-31
87.0170,8.0121e-09,1.4317e-08,1.0000e-31
88.0110,8.3578e-09,1.4978e-08,1.0000e-31
89.0060,8.1939e-09,1.4775e-08,1.0000e-31
