# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14i for E = 1000.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.5903e-10,2.5246e-06,9.0167e-07
1.4940,7.5551e-10,2.5464e-06,9.0996e-07
2.4890,9.4703e-10,2.5709e-06,9.1984e-07
3.4830,1.2391e-09,2.5987e-06,9.3138e-07
4.4780,1.6393e-09,2.6293e-06,9.4465e-07
5.4720,2.1564e-09,2.6632e-06,9.5974e-07
6.4670,2.8013e-09,2.6999e-06,9.7675e-07
7.4610,3.5871e-09,2.7402e-06,9.9585e-07
8.4560,4.5293e-09,2.7834e-06,1.0172e-06
9.4500,5.6459e-09,2.8303e-06,1.0410e-06
10.4440,6.9576e-09,2.8806e-06,1.0676e-06
11.4390,8.4880e-09,2.9338e-06,1.0971e-06
12.4330,1.0264e-08,2.9910e-06,1.1300e-06
13.4280,1.2315e-08,3.0512e-06,1.1665e-06
14.4220,1.4676e-08,3.1153e-06,1.2068e-06
15.4170,1.7379e-08,3.1823e-06,1.2516e-06
16.4110,2.0461e-08,3.2534e-06,1.3011e-06
17.4060,2.3953e-08,3.3269e-06,1.3554e-06
18.4000,2.7885e-08,3.4040e-06,1.4151e-06
19.3940,3.2290e-08,3.4834e-06,1.4804e-06
20.3890,3.7218e-08,3.5642e-06,1.5518e-06
21.3830,4.2793e-08,3.6477e-06,1.6300e-06
22.3780,4.9345e-08,3.7320e-06,1.7172e-06
23.3720,5.7751e-08,3.8179e-06,1.8143e-06
24.3670,6.9629e-08,3.9032e-06,1.9223e-06
25.3610,8.4687e-08,3.9885e-06,2.0444e-06
26.3560,1.0295e-07,4.0709e-06,2.1821e-06
27.3500,1.2531e-07,4.1492e-06,2.3361e-06
28.3440,1.5198e-07,4.2211e-06,2.5060e-06
29.3390,1.8263e-07,4.2858e-06,2.6931e-06
30.3330,2.1538e-07,4.3430e-06,2.8956e-06
31.3280,2.4573e-07,4.3909e-06,3.1145e-06
32.3220,2.6772e-07,4.4302e-06,3.3502e-06
33.3170,2.8434e-07,4.4598e-06,3.6066e-06
34.3110,2.9669e-07,4.4799e-06,3.8861e-06
35.3060,3.1159e-07,4.4932e-06,4.1909e-06
36.3000,3.2934e-07,4.5034e-06,4.5192e-06
37.2940,3.5180e-07,4.5100e-06,4.8662e-06
38.2890,3.8670e-07,4.5150e-06,5.2258e-06
39.2830,4.3065e-07,4.5192e-06,5.5874e-06
40.2780,4.8566e-07,4.5229e-06,5.9471e-06
41.2720,5.3799e-07,4.5263e-06,6.3066e-06
42.2670,5.7600e-07,4.5218e-06,6.6605e-06
43.2610,6.0787e-07,4.5233e-06,7.0044e-06
44.2560,6.4551e-07,4.5284e-06,7.3341e-06
45.2500,6.8789e-07,4.5297e-06,7.6366e-06
46.2440,7.3482e-07,4.5273e-06,7.8989e-06
47.2390,7.8721e-07,4.5201e-06,8.1068e-06
48.2330,8.4550e-07,4.5096e-06,8.2706e-06
49.2280,9.0984e-07,4.4984e-06,8.4146e-06
50.2220,9.8527e-07,4.4907e-06,8.5787e-06
51.2170,1.0802e-06,4.4926e-06,8.7667e-06
52.2110,1.1739e-06,4.5104e-06,9.0178e-06
53.2060,1.2635e-06,4.5062e-06,9.3944e-06
54.2000,1.3745e-06,4.4981e-06,9.9221e-06
55.1940,1.4907e-06,4.4915e-06,1.0558e-05
56.1890,1.6051e-06,4.4914e-06,1.1316e-05
57.1830,1.7213e-06,4.5074e-06,1.2166e-05
58.1780,1.8418e-06,4.5428e-06,1.3160e-05
59.1720,1.9602e-06,4.5943e-06,1.4342e-05
60.1670,2.0920e-06,4.6556e-06,1.5794e-05
61.1610,2.2162e-06,4.7237e-06,1.7535e-05
62.1560,2.3445e-06,4.8060e-06,1.9473e-05
63.1500,2.5109e-06,4.9638e-06,2.1615e-05
64.1440,2.6425e-06,5.1038e-06,2.3835e-05
65.1390,2.6627e-06,5.1674e-06,2.5793e-05
66.1330,2.6951e-06,5.2370e-06,2.7494e-05
67.1280,2.7866e-06,5.3061e-06,2.9276e-05
68.1220,2.8969e-06,5.3944e-06,3.1205e-05
69.1170,3.0360e-06,5.4977e-06,3.3779e-05
70.1110,3.1238e-06,5.6302e-06,3.6797e-05
71.1060,3.1321e-06,5.7991e-06,3.9417e-05
72.1000,3.1351e-06,5.9924e-06,4.1891e-05
73.0940,3.1886e-06,6.0733e-06,4.4611e-05
74.0890,3.1572e-06,5.7416e-06,4.6363e-05
75.0830,3.0962e-06,5.5232e-06,4.7173e-05
76.0780,2.8399e-06,5.3265e-06,4.7255e-05
77.0720,2.7331e-06,5.2901e-06,4.5269e-05
78.0670,2.9722e-06,5.5684e-06,4.3394e-05
79.0610,3.4636e-06,6.7310e-06,4.1950e-05
80.0560,4.5032e-06,8.1996e-06,4.7451e-05
81.0500,5.9218e-06,7.4670e-06,5.9143e-05
82.0440,3.9103e-06,7.5991e-06,6.6685e-05
83.0390,3.5314e-06,5.6694e-06,7.1016e-05
84.0330,2.8821e-06,5.4309e-06,7.3119e-05
85.0280,2.7190e-06,6.6575e-06,9.0181e-05
86.0220,3.8333e-06,8.7835e-06,8.5713e-05
87.0170,3.7583e-06,9.5146e-06,4.1972e-05
88.0110,3.7162e-06,7.4082e-06,2.3486e-05
89.0060,3.2517e-06,6.6666e-06,2.4450e-05
