# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15a for E = 5000.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.1277e-19,1.0369e-23,5.3875e-14
1.4940,2.8202e-17,3.1332e-23,4.9136e-13
2.4890,1.7327e-16,5.2777e-23,1.4102e-12
3.4830,5.9225e-16,7.5395e-23,2.8976e-12
4.4780,1.5336e-15,9.9181e-23,5.0950e-12
5.4720,3.3899e-15,1.2500e-22,8.2170e-12
6.4670,6.7836e-15,1.5289e-22,1.2585e-11
7.4610,1.2703e-14,1.8393e-22,1.8685e-11
8.4560,2.2716e-14,2.1824e-22,2.7245e-11
9.4500,3.9476e-14,2.5722e-22,3.9336e-11
10.4440,6.7890e-14,3.0151e-22,5.5931e-11
11.4390,1.1788e-13,3.5167e-22,7.9506e-11
12.4330,2.1178e-13,4.0985e-22,1.1024e-10
13.4280,3.9867e-13,4.7650e-22,1.5275e-10
14.4220,7.6865e-13,5.5471e-22,2.1447e-10
15.4170,1.4190e-12,6.4519e-22,2.7352e-10
16.4110,2.2865e-12,7.5208e-22,3.4281e-10
17.4060,3.2979e-12,8.7631e-22,4.6265e-10
18.4000,4.7559e-12,1.0236e-21,6.6210e-10
19.3940,6.9424e-12,1.1971e-21,9.0251e-10
20.3890,1.0344e-11,1.3986e-21,9.8663e-10
21.3830,1.5788e-11,1.6366e-21,1.0882e-09
22.3780,2.8807e-11,1.9166e-21,1.2010e-09
23.3720,6.1694e-11,2.2861e-21,1.2771e-09
24.3670,7.8836e-11,2.7769e-21,1.4406e-09
25.3610,1.1191e-10,3.3921e-21,1.6087e-09
26.3560,2.7638e-10,4.2490e-21,1.8120e-09
27.3500,2.8726e-10,4.9490e-21,2.0690e-09
28.3440,3.2499e-10,5.5770e-21,2.3809e-09
29.3390,3.9333e-10,6.1605e-21,2.7202e-09
30.3330,4.9953e-10,6.9208e-21,3.2793e-09
31.3280,6.0243e-10,7.7918e-21,3.3054e-09
32.3220,8.2570e-10,9.6094e-21,3.3673e-09
33.3170,1.1068e-09,1.2931e-20,3.8037e-09
34.3110,1.8617e-09,1.7135e-20,5.1301e-09
35.3060,2.1474e-09,1.7041e-20,5.6403e-09
36.3000,2.4605e-09,1.6535e-20,5.9966e-09
37.2940,2.3949e-09,1.6250e-20,6.1854e-09
38.2890,2.3156e-09,1.5668e-20,6.6491e-09
39.2830,2.4956e-09,1.4889e-20,7.5566e-09
40.2780,3.1396e-09,1.4300e-20,8.4596e-09
41.2720,3.5228e-09,1.3809e-20,9.8572e-09
42.2670,4.1396e-09,1.2715e-20,1.2304e-08
43.2610,5.9161e-09,1.0237e-20,1.5874e-08
44.2560,7.6780e-09,8.7605e-21,1.8520e-08
45.2500,7.1324e-09,8.6801e-21,1.9025e-08
46.2440,6.7266e-09,8.6125e-21,2.0264e-08
47.2390,6.3898e-09,8.6326e-21,2.1623e-08
48.2330,5.8212e-09,8.7903e-21,2.2816e-08
49.2280,5.5020e-09,8.8805e-21,2.5844e-08
50.2220,5.0675e-09,8.9976e-21,2.6871e-08
51.2170,4.4116e-09,9.6037e-21,2.6558e-08
52.2110,3.8518e-09,9.8708e-21,2.7164e-08
53.2060,2.9412e-09,1.0791e-20,2.8015e-08
54.2000,1.2784e-09,1.2034e-20,3.1323e-08
55.1940,1.2495e-09,1.1964e-20,3.1959e-08
56.1890,1.2235e-09,1.1863e-20,3.2459e-08
57.1830,1.2164e-09,1.1672e-20,3.3900e-08
58.1780,1.2120e-09,1.1688e-20,3.6567e-08
59.1720,1.1951e-09,1.1604e-20,4.2569e-08
60.1670,1.2154e-09,1.1564e-20,4.2691e-08
61.1610,1.2023e-09,1.1461e-20,4.1429e-08
62.1560,1.2457e-09,1.1504e-20,4.0196e-08
63.1500,1.2717e-09,1.1567e-20,4.3580e-08
64.1440,1.3092e-09,1.1464e-20,4.6708e-08
65.1390,1.3610e-09,1.1459e-20,4.7802e-08
66.1330,1.3685e-09,1.1340e-20,5.2581e-08
67.1280,1.4340e-09,1.1252e-20,4.1561e-08
68.1220,1.4331e-09,1.1230e-20,3.7137e-08
69.1170,1.4517e-09,1.1165e-20,3.7868e-08
70.1110,1.4963e-09,1.1163e-20,4.0112e-08
71.1060,1.6107e-09,1.1009e-20,4.1841e-08
72.1000,1.5111e-09,1.0994e-20,4.2941e-08
73.0940,1.5389e-09,1.0762e-20,4.4084e-08
74.0890,1.6451e-09,1.0803e-20,4.5895e-08
75.0830,1.6807e-09,1.0425e-20,4.7043e-08
76.0780,1.6624e-09,1.0123e-20,5.0119e-08
77.0720,2.4514e-09,9.7091e-21,4.9978e-08
78.0670,2.0196e-09,9.2823e-21,5.0139e-08
79.0610,2.2828e-09,9.8919e-21,4.9298e-08
80.0560,2.1504e-09,9.4442e-21,4.8639e-08
81.0500,2.1555e-09,9.6913e-21,4.8183e-08
82.0440,2.1450e-09,9.5920e-21,4.5310e-08
83.0390,2.1806e-09,9.7718e-21,4.0637e-08
84.0330,2.2542e-09,9.8275e-21,3.3884e-08
85.0280,2.1430e-09,9.9618e-21,3.3896e-08
86.0220,2.2285e-09,9.9916e-21,3.5471e-08
87.0170,2.0942e-09,9.7961e-21,3.4709e-08
88.0110,2.0119e-09,9.4050e-21,3.3393e-08
89.0060,2.0075e-09,9.1103e-21,3.3193e-08
