# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15n for E = 500.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.1857e-12,2.5494e-11,6.6849e-11
1.4940,7.4073e-11,2.3052e-10,5.9837e-10
2.4890,2.0922e-10,6.4153e-10,1.6750e-09
3.4830,4.1953e-10,1.2712e-09,3.3161e-09
4.4780,7.1336e-10,2.1152e-09,5.5453e-09
5.4720,1.1018e-09,3.1960e-09,8.3894e-09
6.4670,1.5989e-09,4.5018e-09,1.1880e-08
7.4610,2.2221e-09,6.0658e-09,1.6051e-08
8.4560,2.9928e-09,7.8678e-09,2.0942e-08
9.4500,3.9366e-09,9.9517e-09,2.6595e-08
10.4440,5.0844e-09,1.2311e-08,3.3053e-08
11.4390,6.4728e-09,1.4933e-08,4.0361e-08
12.4330,8.1450e-09,1.7875e-08,4.8560e-08
13.4280,1.0152e-08,2.1096e-08,5.7671e-08
14.4220,1.2550e-08,2.4662e-08,6.7712e-08
15.4170,1.5400e-08,2.8517e-08,7.8688e-08
16.4110,1.8772e-08,3.2738e-08,9.0622e-08
17.4060,2.2744e-08,3.7251e-08,1.0358e-07
18.4000,2.7392e-08,4.2134e-08,1.1780e-07
19.3940,3.2793e-08,4.7326e-08,1.3298e-07
20.3890,3.9005e-08,5.2749e-08,1.4925e-07
21.3830,4.6066e-08,5.8452e-08,1.6659e-07
22.3780,5.3982e-08,6.4278e-08,1.8509e-07
23.3720,6.2745e-08,7.0296e-08,2.0491e-07
24.3670,7.2299e-08,7.6395e-08,2.2617e-07
25.3610,8.2515e-08,8.2656e-08,2.4921e-07
26.3560,9.3207e-08,8.8891e-08,2.7504e-07
27.3500,1.0408e-07,9.5063e-08,3.0337e-07
28.3440,1.1505e-07,1.0092e-07,3.3442e-07
29.3390,1.2614e-07,1.0620e-07,3.6953e-07
30.3330,1.3755e-07,1.1126e-07,4.1014e-07
31.3280,1.4986e-07,1.1729e-07,4.4943e-07
32.3220,1.6687e-07,1.2522e-07,4.8631e-07
33.3170,1.8305e-07,1.3308e-07,5.2251e-07
34.3110,1.9768e-07,1.3794e-07,5.5973e-07
35.3060,2.1330e-07,1.4154e-07,5.9674e-07
36.3000,2.2942e-07,1.4431e-07,6.3505e-07
37.2940,2.4551e-07,1.4624e-07,6.7455e-07
38.2890,2.6064e-07,1.4751e-07,7.1281e-07
39.2830,2.7354e-07,1.4841e-07,7.5131e-07
40.2780,2.8325e-07,1.4906e-07,7.9849e-07
41.2720,2.9197e-07,1.4690e-07,9.1424e-07
42.2670,3.0779e-07,1.4516e-07,1.1328e-06
43.2610,3.2981e-07,1.5308e-07,1.5031e-06
44.2560,3.3991e-07,1.6065e-07,1.5167e-06
45.2500,3.4719e-07,1.6836e-07,1.5136e-06
46.2440,3.5322e-07,1.7706e-07,1.4948e-06
47.2390,3.5842e-07,1.8702e-07,1.4678e-06
48.2330,3.6309e-07,1.9943e-07,1.4069e-06
49.2280,3.6658e-07,2.1494e-07,1.3972e-06
50.2220,3.6803e-07,2.3372e-07,1.3701e-06
51.2170,3.6846e-07,2.6549e-07,1.3395e-06
52.2110,3.7558e-07,3.1383e-07,1.3141e-06
53.2060,4.4801e-07,3.5569e-07,1.3152e-06
54.2000,4.4602e-07,3.7748e-07,1.2783e-06
55.1940,4.5055e-07,3.7982e-07,1.2539e-06
56.1890,4.5437e-07,3.8194e-07,1.2158e-06
57.1830,4.5850e-07,3.8370e-07,1.2503e-06
58.1780,4.6486e-07,3.8541e-07,1.3213e-06
59.1720,4.7179e-07,3.8714e-07,1.3372e-06
60.1670,4.7786e-07,3.8863e-07,1.3017e-06
61.1610,4.9272e-07,4.0336e-07,1.2690e-06
62.1560,5.4521e-07,4.1932e-07,1.1941e-06
63.1500,5.6468e-07,4.1941e-07,1.0712e-06
64.1440,5.2710e-07,4.1978e-07,9.5073e-07
65.1390,5.9424e-07,4.9764e-07,9.6553e-07
66.1330,6.2970e-07,5.1122e-07,9.9515e-07
67.1280,6.4092e-07,5.0910e-07,1.0144e-06
68.1220,6.5279e-07,5.0748e-07,1.0258e-06
69.1170,6.6344e-07,5.0679e-07,1.0295e-06
70.1110,6.7826e-07,5.0942e-07,1.0222e-06
71.1060,6.9371e-07,5.0076e-07,1.0325e-06
72.1000,7.2165e-07,4.8918e-07,1.0724e-06
73.0940,7.7487e-07,4.7071e-07,1.1071e-06
74.0890,8.2280e-07,4.5476e-07,1.1476e-06
75.0830,8.7618e-07,4.4612e-07,1.2199e-06
76.0780,9.7624e-07,4.3148e-07,1.2882e-06
77.0720,1.0045e-06,4.0057e-07,1.2255e-06
78.0670,1.2509e-06,4.1836e-07,1.3458e-06
79.0610,8.2942e-07,3.9615e-07,1.4357e-06
80.0560,7.2713e-07,3.2006e-07,1.3031e-06
81.0500,7.2877e-07,2.9861e-07,1.3004e-06
82.0440,6.9886e-07,2.8498e-07,1.3358e-06
83.0390,6.4775e-07,2.9986e-07,1.1426e-06
84.0330,6.1277e-07,3.2249e-07,8.2871e-07
85.0280,5.7742e-07,3.5423e-07,9.1129e-07
86.0220,5.4261e-07,4.0658e-07,1.0759e-06
87.0170,5.3364e-07,4.8883e-07,1.2121e-06
88.0110,5.1221e-07,5.9359e-07,1.4520e-06
89.0060,4.5842e-07,6.6958e-07,1.4721e-06
