# Chorus wave power in pT^2 for frequency range 0.3fce < f < 0.4fce, where fce is the electron gyrofrequency,  for 30 magnetic latitude bins from 0 < |MLAT| < 90 and 5 Kp bins, as shown in Figure 2d 
#  |MLAT|,0 <= Kp < 1,1 <= Kp < 2,2 <= Kp < 3,3 <= Kp < 4,Kp >= 4
1.5000,2.7751e+00,1.1432e+01,4.5664e+01,6.1194e+01,7.2137e+01
4.5000,5.4664e+00,2.0095e+01,6.9948e+01,1.0085e+02,1.4714e+02
7.5000,5.9131e+00,2.3942e+01,7.9091e+01,1.2936e+02,1.8802e+02
10.5000,9.4922e+00,2.8222e+01,1.0861e+02,1.4753e+02,2.5493e+02
13.5000,1.3355e+01,3.4866e+01,1.5044e+02,1.7208e+02,3.3336e+02
16.5000,1.0939e+01,2.7051e+01,2.2215e+02,2.1054e+02,3.1436e+02
19.5000,1.1205e+01,2.1608e+01,2.2572e+02,1.7904e+02,2.7547e+02
22.5000,7.9676e+00,1.9004e+01,2.4732e+02,1.7931e+02,2.3180e+02
25.5000,3.4248e+00,1.2223e+01,2.0035e+02,1.5900e+02,1.7288e+02
28.5000,4.1570e+00,1.6296e+01,1.0858e+02,8.9424e+01,1.4575e+02
31.5000,6.1773e+00,1.9469e+01,1.1463e+02,7.9438e+01,1.2516e+02
34.5000,5.9491e+00,2.2239e+01,8.2799e+01,6.1359e+01,1.1388e+02
37.5000,6.4011e+00,2.4411e+01,8.2620e+01,5.1834e+01,9.0507e+01
40.5000,5.4301e+00,2.0154e+01,8.6394e+01,5.7268e+01,7.5477e+01
43.5000,1.3309e+00,1.3936e+01,5.0143e+01,4.5040e+01,6.1390e+01
46.5000,6.8453e-01,7.4602e+00,2.3527e+01,3.5760e+01,3.3455e+01
49.5000,5.7801e-02,1.7389e+00,1.3343e+01,1.9366e+01,1.7222e+01
52.5000,8.8818e-16,3.8259e-01,0.0000e+00,0.0000e+00,4.1049e+00
55.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
58.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
61.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
64.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
67.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
70.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
73.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
76.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
79.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
82.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
85.5000,8.8818e-16,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
88.5000,1.1842e-15,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
