# Chorus wave power in pT^2 for frequency range 0.0fce < f < 0.1fce, where fce is the electron gyrofrequency,  for 30 magnetic latitude bins from 0 < |MLAT| < 90 and 5 Kp bins, as shown in Figure 2f 
#  |MLAT|,0 <= Kp < 1,1 <= Kp < 2,2 <= Kp < 3,3 <= Kp < 4,Kp >= 4
1.5000,7.0826e+00,9.0548e+00,3.1205e+00,1.1394e+01,7.7034e+01
4.5000,5.9991e+00,7.1796e+00,2.3769e+00,1.0083e+01,6.0771e+01
7.5000,5.7823e+00,5.7565e+00,1.8678e+00,8.4802e+00,5.3258e+01
10.5000,5.2049e+00,5.4668e+00,1.5955e+00,7.5797e+00,3.3729e+01
13.5000,3.4255e+00,2.5325e+00,5.5693e-01,5.0850e+00,1.9418e+01
16.5000,9.4643e+00,2.7985e+00,4.2822e-01,3.5380e+00,1.4828e+01
19.5000,1.1740e+01,1.1684e+01,4.1849e-01,2.8822e+00,8.6763e+00
22.5000,1.3678e+01,1.2309e+01,3.3335e-01,1.9378e+00,7.8208e+00
25.5000,1.3530e+01,1.2012e+01,1.8029e-01,6.0661e-01,4.6631e+00
28.5000,6.6708e+00,1.0935e+01,8.7485e-02,2.8927e-01,2.2013e+00
31.5000,3.1119e+00,1.6782e+00,1.2064e-02,2.7368e-02,6.7362e-01
34.5000,7.3162e-01,2.4073e-01,3.6749e-03,8.2370e-03,4.6926e-02
37.5000,1.3815e-01,4.6863e-02,8.8733e-04,1.2338e-03,9.5528e-03
40.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
43.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
46.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
49.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
52.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
55.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
58.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
61.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
64.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
67.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
70.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
73.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
76.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
79.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
82.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
85.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
88.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
