# Chorus wave power in pT^2 for frequency range 0.3fce < f < 0.4fce, where fce is the electron gyrofrequency,  for 30 magnetic latitude bins from 0 < |MLAT| < 90 and 5 Kp bins, as shown in Figure 2i 
#  |MLAT|,0 <= Kp < 1,1 <= Kp < 2,2 <= Kp < 3,3 <= Kp < 4,Kp >= 4
1.5000,1.0660e+00,1.8351e+01,3.2324e+02,8.4166e+02,1.6158e+03
4.5000,8.9875e-01,1.3583e+01,2.2814e+02,6.5287e+02,1.2717e+03
7.5000,8.0291e-01,1.0363e+01,1.7345e+02,4.9670e+02,9.6698e+02
10.5000,6.2100e-01,9.5473e+00,9.6005e+01,3.2023e+02,3.9953e+02
13.5000,4.6776e-01,1.4586e+00,1.6742e+01,7.8948e+01,1.9095e+02
16.5000,5.4969e-01,5.7397e-01,7.7316e+00,1.0442e+01,5.2693e+01
19.5000,5.5081e-01,6.9216e-01,5.9492e+00,4.1517e+00,5.0118e+01
22.5000,6.2704e-01,7.6085e-01,2.6036e+00,2.5146e+00,2.1408e+01
25.5000,7.1630e-01,6.4488e-01,2.1934e+00,1.3497e+00,1.9162e+01
28.5000,6.5066e-01,6.4525e-01,2.2398e+00,1.4488e+00,1.2278e+01
31.5000,1.2063e+00,4.1142e-01,2.1768e+00,9.6072e-01,4.2978e+00
34.5000,1.0135e+00,2.3581e-01,1.4067e+00,7.5878e-01,5.9172e+00
37.5000,8.4295e-01,1.9369e-01,1.1648e+00,6.8665e-01,7.2684e+00
40.5000,6.8558e-01,6.6147e-02,6.4685e-01,2.6962e-01,6.5237e+00
43.5000,0.0000e+00,6.4689e-03,1.4237e-01,0.0000e+00,3.9006e+00
46.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.5115e+00
49.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
52.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
55.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
58.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
61.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
64.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
67.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
70.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
73.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
76.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
79.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
82.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
85.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
88.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
